start,end
Category:Weather,"Summary:The Indian Meteorological Department reported that Severe Cyclonic Storm 'Tej' is advancing over the southwest Arabian Sea and is expected to intensify into a very severe cyclonic storm. It is predicted to make landfall between Al Ghaidah, Yemen, and Salalah, Oman, on October 25. Fishermen are advised to avoid venturing into the affected seas until then."
Character:Indian Meteorological Department,"Summary:The Indian Meteorological Department reported that Severe Cyclonic Storm 'Tej' is advancing over the southwest Arabian Sea and is expected to intensify into a very severe cyclonic storm. It is predicted to make landfall between Al Ghaidah, Yemen, and Salalah, Oman, on October 25. Fishermen are advised to avoid venturing into the affected seas until then."
Source:ABC News,"Summary:A Kenyan police unit went on trial for the killing of Pakistani journalist Arshad Sharif, who was shot dead while trying to evade a roadblock in Nairobi. His widow and two journalists' unions filed charges against the General Service Unit (GSU), alleging it was a planned assassination. The case has drawn international criticism."
Author:EMMANUEL IGUNZA Associated Press,"Summary:A Kenyan police unit went on trial for the killing of Pakistani journalist Arshad Sharif, who was shot dead while trying to evade a roadblock in Nairobi. His widow and two journalists' unions filed charges against the General Service Unit (GSU), alleging it was a planned assassination. The case has drawn international criticism."
Category:Crime,"Summary:A Kenyan police unit went on trial for the killing of Pakistani journalist Arshad Sharif, who was shot dead while trying to evade a roadblock in Nairobi. His widow and two journalists' unions filed charges against the General Service Unit (GSU), alleging it was a planned assassination. The case has drawn international criticism."
Character:Arshad Sharif,"Summary:A Kenyan police unit went on trial for the killing of Pakistani journalist Arshad Sharif, who was shot dead while trying to evade a roadblock in Nairobi. His widow and two journalists' unions filed charges against the General Service Unit (GSU), alleging it was a planned assassination. The case has drawn international criticism."
Character:Javeria Siddique,"Summary:A Kenyan police unit went on trial for the killing of Pakistani journalist Arshad Sharif, who was shot dead while trying to evade a roadblock in Nairobi. His widow and two journalists' unions filed charges against the General Service Unit (GSU), alleging it was a planned assassination. The case has drawn international criticism."
Character:Ochiel Dudley,"Summary:A Kenyan police unit went on trial for the killing of Pakistani journalist Arshad Sharif, who was shot dead while trying to evade a roadblock in Nairobi. His widow and two journalists' unions filed charges against the General Service Unit (GSU), alleging it was a planned assassination. The case has drawn international criticism."
Source:Time,"Summary:A magnitude 6.3 earthquake struck western Afghanistan, killing at least one person and injuring around 120 others. The quake flattened villages including Chahak, causing distress among survivors who lost their homes and livestock. Aid organizations like Doctors Without Borders provided medical assistance. The area has been hit by multiple earthquakes recently, with international aid being offered from countries such as Iran, Turkey, UAE, Turkmenistan, Kazakhstan, Saudi Arabia, and China."
Author:EBRAHIM NOROOZI and RAHIM FAIEZ / AP,"Summary:A magnitude 6.3 earthquake struck western Afghanistan, killing at least one person and injuring around 120 others. The quake flattened villages including Chahak, causing distress among survivors who lost their homes and livestock. Aid organizations like Doctors Without Borders provided medical assistance. The area has been hit by multiple earthquakes recently, with international aid being offered from countries such as Iran, Turkey, UAE, Turkmenistan, Kazakhstan, Saudi Arabia, and China."
Category:Disaster,"Summary:A magnitude 6.3 earthquake struck western Afghanistan, killing at least one person and injuring around 120 others. The quake flattened villages including Chahak, causing distress among survivors who lost their homes and livestock. Aid organizations like Doctors Without Borders provided medical assistance. The area has been hit by multiple earthquakes recently, with international aid being offered from countries such as Iran, Turkey, UAE, Turkmenistan, Kazakhstan, Saudi Arabia, and China."
Character:Abdul Wahid Rayan,"Summary:A magnitude 6.3 earthquake struck western Afghanistan, killing at least one person and injuring around 120 others. The quake flattened villages including Chahak, causing distress among survivors who lost their homes and livestock. Aid organizations like Doctors Without Borders provided medical assistance. The area has been hit by multiple earthquakes recently, with international aid being offered from countries such as Iran, Turkey, UAE, Turkmenistan, Kazakhstan, Saudi Arabia, and China."
Character:Janan Sayiq,"Summary:A magnitude 6.3 earthquake struck western Afghanistan, killing at least one person and injuring around 120 others. The quake flattened villages including Chahak, causing distress among survivors who lost their homes and livestock. Aid organizations like Doctors Without Borders provided medical assistance. The area has been hit by multiple earthquakes recently, with international aid being offered from countries such as Iran, Turkey, UAE, Turkmenistan, Kazakhstan, Saudi Arabia, and China."
